,title,agency,date,status,purpose,period_covered,link,reason_denial
332,SALN of Department of Public Works and Highways Secretary Mark A. Villar,DPWH,2021-09-28,DENIED,Research and development,01/01/2018 - 01/01/2021,,invalid-request
333,SALN of Secretary Teodoro Locsin Jr.,DFA,2021-09-28,PENDING,Research and other academic purposes,01/01/2018 - 12/31/2020,,—
334,"Statement of Assets, Liabilities and Net Worth (SALN) of Sec. Herminio Harry L. Roque Jr.",PCOO,2021-09-28,DENIED,Research and Academic,01/01/2018 - 12/31/2020,,wrong-agency
335,"Statement of Assets, Liabilities and Net Worth (SALN) of DENR Sec. Roy A. Cimatu",DENR,2021-09-28,DENIED,Research and Academic,01/01/2018 - 12/31/2020,,wrong-agency
336,SALN OF Department of Education Secretary Leonor Magtolis Briones,DepEd,2021-09-28,PROCESSING,Research and development,01/01/2018 - 01/01/2021,,—
337,"Statement of Assets, Liabilities and Net Worth (SALN) of DepEd Sec. Leonor Magtolis Briones",DepEd,2021-09-28,PROCESSING,Research and Academic,01/01/2018 - 12/31/2020,,—
338,"Statement of Assets, Liabilities and Net Worth (SALN) of DOH Sec. Dr. Francisco Duque III",DOH,2021-09-28,PROCESSING,Research and Academic,01/01/2018 - 12/31/2020,,—
339,"Statement of Assets, Liabilities and Net Worth (SALN) of DOLE Sec. Sec. Silvestre H. Bello III",DOLE,2021-09-28,SUCCESSFUL,Research and Academic,01/01/2018 - 12/31/2020,,—
340,"Statement of Assets, Liabilities and Net Worth (SALN) of DOT Sec. Bernadette Romulo Puyat",DOT,2021-09-28,SUCCESSFUL,Research and Academic,01/01/2018 - 12/31/2020,,—
341,"Statement of Assets, Liabilities and Net Worth (SALN) of DOT Sec. Bernadette Romulo Puyat",DOT,2021-10-21,AWAITING CLARIFICATION,Research and Academic Purposes,01/01/2018 - 12/31/2020,,—
344,"Statement of Assets, Liabilities and Net Worth (SALN) of DOJ Sec. Menardo Guevarra",DOJ,2021-09-29,PENDING,Academic Research,01/01/2018 - 12/31/2020,,—
345,"Statement of Assets, Liabilities and Net Worth (SALN) of DOJ Sec. Menardo Guevarra",DOJ,2021-10-21,SUCCESSFUL,Research and Academic Purposes,01/01/2018 - 12/31/2020,,—
348,"Statement of Assets, Liabilities, and Net Worth (SALN) of DICT Sec.Gregorio B. Honasan II",DICT,2021-10-05,PENDING,Academic and Research Purposes,01/01/2018 - 10/01/2020,,—
349,"Statement of Assets, Liabilities, and Net Worth (SALN) of DTI Secretary Ramon M. Lopez, from 2018 -",DTI,2021-10-05,REFERRED,Academic and Research Purposes,01/01/2018 - 10/01/2020,,—
350,"Statement of Assets, Liabilities, and Net Worth (SALN) of DTI Secretary Ramon M. Lopez, from 2018 -",OP,2021-10-07,PENDING,Academic and Research Purposes,01/01/2018 - 10/01/2020,,—
353,"Statement of Assets, Liabilities, and Net Worth (SALN) of DOST Sec. Fortunato de la Peña 2018-2020",DOST,2021-10-05,REFERRED,Academic and Research purposes,01/01/2018 - 10/01/2020,,—
354,"Statement of Assets, Liabilities, and Net Worth (SALN) of DOST Sec. Fortunato de la Peña 2018-2020",OP,2021-10-07,PENDING,Academic and Research purposes,01/01/2018 - 10/01/2020,,—
357,"Statement of Assets, Liabilities, and Net Worth (SALN) of Sec. Roy A. Cimatu 2018 - 2020.",DENR,2021-10-05,DENIED,Academic and Research Purposes,01/01/2018 - 10/01/2020,,wrong-agency
358,SALN Report of VP Robredo,OVP,2021-10-13,PENDING,It is intended for my Midterm Exam and I'll use it as my Supporting Facts,01/01/2016 - 10/13/2021,,—
359,"Statement of Assets, Liabilities and Net Worth (SALN) of DOLE Sec. Silvestre H. Bello III",DOLE,2021-10-14,SUCCESSFUL,Research and other Academic Purposes,01/01/2018 - 12/31/2020,,—
360,SALN of the VP,OVP,2021-10-17,AWAITING CLARIFICATION,Research for who to vote,01/01/2016 - 10/17/2021,,—
361,SALN of the VP,OVP,2021-10-21,SUCCESSFUL,For Research Purposes,10/21/2016 - 10/21/2021,,—
364,SALN of DENR Secretary Roy Cimatu,DENR,2021-10-21,DENIED,Academic Research and Purposes,01/01/2018 - 12/31/2020,,wrong-agency
365,SALN of Masbate Governor Antonio Kho,DILG,2021-10-24,PENDING,Information/Transparency to citizens in Masbate,01/01/2016 - 12/31/2020,,—
366,Saln of vice leni robredo,OVP,2021-10-29,AWAITING CLARIFICATION,For research,01/30/2016 - 10/29/2021,,—
367,SALN of the Vice President,OVP,2021-10-29,AWAITING CLARIFICATION,Transparency and Research,10/29/2019 - 10/29/2021,,—
368,SALN of the Vice President,OVP,2021-10-29,SUCCESSFUL,TRASPARENCY,01/01/2016 - 09/20/2021,,—
369,SALN of the Vice President,OVP,2022-01-06,PENDING,For research purposes,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC00NjkzNjQ0MjYyMzMM,
376,LATEST SALN OF VP ROBREDO,OVP,2021-10-29,AWAITING CLARIFICATION,FOR ACADEMIC RESEARCH PURPOSES,01/01/2020 - 12/31/2020,,—
377,SALN of Mayor Vico Sotto,USAP,2021-10-29,DENIED,Transparency,01/01/2020 - 12/31/2020,,—
378,"Statement of Assets, Liabilities, and Net Worth (SALN) of Vice President Maria Leonor G. Robredo",OVP,2021-10-30,SUCCESSFUL,Research on facts and other information,01/01/2020 - 12/31/2020,,—
379,SALN REQUEST,OVP,2021-10-30,DENIED,Research,01/01/2019 - 10/30/2021,,—
380,Latest SALN of the Vice President,OVP,2021-10-30,AWAITING CLARIFICATION,Research,01/01/2019 - 10/30/2021,,—
381,Latest SALN of the Vice President,OVP,2022-01-24,PENDING,Research and Development,06/13/2013 - 01/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0xNTU1OTgwMTA0MDcM,
384,2020 SALN of the Vice President,OVP,2021-10-31,AWAITING CLARIFICATION,Transparency,01/01/2020 - 12/31/2020,,—
385,Saln of Vice President,OVP,2021-11-01,AWAITING CLARIFICATION,Personal interest,05/10/2016 - 11/01/2021,,—
386,Leni Robredo's SALN 2019 and 2020,OVP,2021-11-03,AWAITING CLARIFICATION,Research and development,01/01/2019 - 12/31/2020,,—
387,SALN and OVP Financial Statement,OVP,2021-11-05,AWAITING CLARIFICATION,Research purposes,01/01/2019 - 01/01/2021,,—
388,SALN of Ernesto Corpus Abella,DFA,2021-11-09,DENIED,Academic purposes,01/01/2020 - 12/31/2020,,wrong-agency
389,SALN of Leysander Ordenes,MARINA,2021-11-09,PENDING,Academic purposes,01/01/2020 - 12/31/2020,,—
390,"Statement of Assets, Liabilities, and Net Worth (SALN) of the Vice President",OVP,2021-11-11,AWAITING CLARIFICATION,Records Request Project,06/30/2016 - 06/30/2020,,—
391,SALN of Deputy Executive Director,OWWA,2021-11-13,SUCCESSFUL,Research,01/01/2019 - 12/31/2020,,—
392,SALN of Vice President,OVP,2021-12-01,AWAITING CLARIFICATION,Research,01/01/2016 - 12/01/2021,,—
393,SALN Request & Accomplishments & Report of Office of the Vice President,OVP,2022-01-01,PENDING,for research purposes,05/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC05MDg4MTcxNzI4ODAM,
